full_name,mobile_number,email,date_of_birth,address,sex,property_no,street_1,street_2,property_type_name,property_sub_type_name,ward_no,pincode
Nakul Mistry,5949799546,kevinkoshy@example.org,2022-08-26,"H.No. 28, Narula Chowk, Etawah-406362",male,40687,Apte Marg,Bal Zila,residential,house,10,654968
Pavani Raju,3362582491,senjeremiah@example.net,1970-04-26,"604, Varma, Bhubaneswar 811163",female,83272,Brar Circle,Tak Circle,commercial,wedding hall,90,985201
Wakeeta Keer,0841860940,edhithatailor@example.net,2022-05-15,"56/252, Chaudhry Ganj, Pimpri-Chinchwad 495352",male,59173,Narayan Circle,Sachdev Circle,commercial,wedding hall,29,816688
Jason Sridhar,1060615236,buchwahab@example.com,1973-04-23,"56, Sami Marg, Berhampore-582014",male,18407,Chhabra Nagar,Ratta Path,commercial,hotel,77,835882
Vaishnavi Gola,4674912572,gsarna@example.org,1955-10-12,"69/62, Mohan Marg, Chandigarh-481378",female,51323,Bhat Road,Chad Zila,industrial,,89,007550
Hemani Subramanian,8419400464,anya00@example.net,2021-01-15,"H.No. 23, Balasubramanian Circle, Kalyan-Dombivli-110338",male,53506,Sarraf Circle,Babu Marg,residential,house,96,130814
Fitan Sibal,5602354373,chakradharkuruvilla@example.org,1918-07-09,"H.No. 33, Dhillon Marg, Bally 944763",male,16289,Chander Zila,Yadav Circle,residential,rent house,83,968744
Ladli Chakraborty,0932198420,zsandal@example.com,1939-11-21,"H.No. 685, Kanda, Kanpur 587223",female,90974,Bhat Road,Pillai Street,commercial,restaurant,19,367827
Onkar Thaker,5450513355,janyakadakia@example.net,1915-03-27,"979, Oak, Bangalore 073241",male,47432,Brahmbhatt Circle,Ram,industrial,,67,582601
Arunima Pal,8129635630,pgoyal@example.net,1954-01-16,"15, Munshi Road, Ambarnath-956199",male,22162,Sule Circle,Ghose Street,residential,house,84,956429
Sneha Mitter,6015570601,viraj72@example.com,1959-03-25,"H.No. 61, Bora, Hospet-069326",male,71299,Gera Road,Toor Zila,commercial,school,32,801188
